year,level_1,level_2,value
1997,Total Male Malays,45 - 49 Years,11262
1997,Total Male Malays,50 - 54 Years,6594
1997,Total Male Malays,55 - 59 Years,5397
1997,Total Male Malays,60 - 64 Years,5358
1997,Total Male Malays,65 - 69 Years,4258
1997,Total Male Malays,70 - 74 Years,3496
1997,Total Male Malays,75 - 79 Years,1969
1997,Total Male Malays,80 - 84 Years,711
1997,Total Male Malays,65 Years & Over,10874
1997,Total Male Malays,70 Years & Over,6617
1997,Total Male Malays,75 Years & Over,3120
1997,Total Male Malays,80 Years & Over,1152
1997,Total Male Malays,85 Years & Over,441
1997,Total Female Malays,0  -  4 Years,22458
1997,Total Female Malays,5  -  9 Years,23376
1997,Total Female Malays,10 - 14 Years,19163
1997,Total Female Malays,15 - 19 Years,14630
1997,Total Female Malays,20 - 24 Years,13754
1997,Total Female Malays,25 - 29 Years,16245
1997,Total Female Malays,30 - 34 Years,21996
1997,Total Female Malays,35 - 39 Years,20857
1997,Total Female Malays,40 - 44 Years,16262
1997,Total Female Malays,45 - 49 Years,11622
1997,Total Female Malays,50 - 54 Years,6728
1997,Total Female Malays,55 - 59 Years,5860
1997,Total Female Malays,60 - 64 Years,5757
1997,Total Female Malays,65 - 69 Years,4496
1997,Total Female Malays,70 - 74 Years,3000
1997,Total Female Malays,75 - 79 Years,1643
1997,Total Female Malays,80 - 84 Years,679
1997,Total Female Malays,65 Years & Over,10246
1997,Total Female Malays,70 Years & Over,5751
1997,Total Female Malays,75 Years & Over,2751
1997,Total Female Malays,80 Years & Over,1108
1997,Total Female Malays,85 Years & Over,429
1997,Total Chinese,0  -  4 Years,161348
1997,Total Chinese,5  -  9 Years,169674
1997,Total Chinese,10 - 14 Years,141218
1997,Total Chinese,15 - 19 Years,150875
1997,Total Chinese,20 - 24 Years,166552
1997,Total Chinese,25 - 29 Years,171780
1997,Total Chinese,30 - 34 Years,200732
1997,Total Chinese,35 - 39 Years,222468
1997,Total Chinese,40 - 44 Years,214619
1997,Total Chinese,45 - 49 Years,180652
1997,Total Chinese,50 - 54 Years,115626
1997,Total Chinese,55 - 59 Years,102358
1997,Total Chinese,60 - 64 Years,73932
1997,Total Chinese,65 - 69 Years,60496
1997,Total Chinese,70 - 74 Years,41664
1997,Total Chinese,75 - 79 Years,27943
1997,Total Chinese,80 - 84 Years,18565
1997,Total Chinese,65 Years & Over,162205
1997,Total Chinese,70 Years & Over,101710
1997,Total Chinese,75 Years & Over,60046
1997,Total Chinese,80 Years & Over,32103
1997,Total Chinese,85 Years & Over,13538
1997,Total Male Chinese,0  -  4 Years,83536
1997,Total Male Chinese,5  -  9 Years,87641
1997,Total Male Chinese,10 - 14 Years,73465
1997,Total Male Chinese,15 - 19 Years,78078
1997,Total Male Chinese,20 - 24 Years,85747
1997,Total Male Chinese,25 - 29 Years,87045
1997,Total Male Chinese,30 - 34 Years,100676
1997,Total Male Chinese,35 - 39 Years,112071
1997,Total Male Chinese,40 - 44 Years,108288
1997,Total Male Chinese,45 - 49 Years,90687
1997,Total Male Chinese,50 - 54 Years,57635
1997,Total Male Chinese,55 - 59 Years,50179
1997,Total Male Chinese,60 - 64 Years,36050
1997,Total Male Chinese,65 - 69 Years,27434
1997,Total Male Chinese,70 - 74 Years,17755
1997,Total Male Chinese,75 - 79 Years,10926
1997,Total Male Chinese,80 - 84 Years,6724
1997,Total Male Chinese,65 Years & Over,67375
1997,Total Male Chinese,70 Years & Over,39941
1997,Total Male Chinese,75 Years & Over,22187
1997,Total Male Chinese,80 Years & Over,11261
1997,Total Male Chinese,85 Years & Over,4537
1997,Total Female Chinese,0  -  4 Years,77812
1997,Total Female Chinese,5  -  9 Years,82033
1997,Total Female Chinese,10 - 14 Years,67753
1997,Total Female Chinese,15 - 19 Years,72797
1997,Total Female Chinese,20 - 24 Years,80804
1997,Total Female Chinese,25 - 29 Years,84735
1997,Total Female Chinese,30 - 34 Years,100055
1997,Total Female Chinese,35 - 39 Years,110397
1997,Total Female Chinese,40 - 44 Years,106331
1997,Total Female Chinese,45 - 49 Years,89965
1997,Total Female Chinese,50 - 54 Years,57991
1997,Total Female Chinese,55 - 59 Years,52180
1997,Total Female Chinese,60 - 64 Years,37882
1997,Total Female Chinese,65 - 69 Years,33062
1997,Total Female Chinese,70 - 74 Years,23909
1997,Total Female Chinese,75 - 79 Years,17017
1997,Total Female Chinese,80 - 84 Years,11841
1997,Total Female Chinese,65 Years & Over,94830
1997,Total Female Chinese,70 Years & Over,61768
1997,Total Female Chinese,75 Years & Over,37859
1997,Total Female Chinese,80 Years & Over,20843
1997,Total Female Chinese,85 Years & Over,9002
1997,Total Indians,0  -  4 Years,18621
1997,Total Indians,5  -  9 Years,19174
1997,Total Indians,10 - 14 Years,15939
1997,Total Indians,15 - 19 Years,13646
1997,Total Indians,20 - 24 Years,12949
1997,Total Indians,25 - 29 Years,15654
1997,Total Indians,30 - 34 Years,20542
1997,Total Indians,35 - 39 Years,21506
1997,Total Indians,40 - 44 Years,17896
1997,Total Indians,45 - 49 Years,14096
1997,Total Indians,50 - 54 Years,8002
1997,Total Indians,55 - 59 Years,6720
1997,Total Indians,60 - 64 Years,6193
1997,Total Indians,65 - 69 Years,6183
1997,Total Indians,70 - 74 Years,4329
1997,Total Indians,75 - 79 Years,2090
1997,Total Indians,80 - 84 Years,797
1997,Total Indians,65 Years & Over,13815
1997,Total Indians,70 Years & Over,7632
1997,Total Indians,75 Years & Over,3303
1997,Total Indians,80 Years & Over,1214
1997,Total Indians,85 Years & Over,417
1997,Total Male Indians,0  -  4 Years,9558
1997,Total Male Indians,5  -  9 Years,9720
1997,Total Male Indians,10 - 14 Years,8255
1997,Total Male Indians,15 - 19 Years,7013
1997,Total Male Indians,20 - 24 Years,6559
1997,Total Male Indians,25 - 29 Years,7945
1997,Total Male Indians,30 - 34 Years,10222
1997,Total Male Indians,35 - 39 Years,10981
1997,Total Male Indians,40 - 44 Years,8994
1997,Total Male Indians,45 - 49 Years,6941
1997,Total Male Indians,50 - 54 Years,3870
1997,Total Male Indians,55 - 59 Years,3119
1997,Total Male Indians,60 - 64 Years,3271
1997,Total Male Indians,65 - 69 Years,4090
1997,Total Male Indians,70 - 74 Years,3045
1997,Total Male Indians,75 - 79 Years,1444
1997,Total Male Indians,80 - 84 Years,561
1997,Total Male Indians,65 Years & Over,9428
1997,Total Male Indians,70 Years & Over,5337
1997,Total Male Indians,75 Years & Over,2292
1997,Total Male Indians,80 Years & Over,848
1997,Total Male Indians,85 Years & Over,287
1997,Total Female Indians,0  -  4 Years,9063
1997,Total Female Indians,5  -  9 Years,9454
1997,Total Female Indians,10 - 14 Years,7684
1997,Total Female Indians,15 - 19 Years,6633
1997,Total Female Indians,20 - 24 Years,6391
1997,Total Female Indians,25 - 29 Years,7709
1997,Total Female Indians,30 - 34 Years,10321
1997,Total Female Indians,35 - 39 Years,10524
1997,Total Female Indians,40 - 44 Years,8903
1997,Total Female Indians,45 - 49 Years,7155
1997,Total Female Indians,50 - 54 Years,4132
1997,Total Female Indians,55 - 59 Years,3602
1997,Total Female Indians,60 - 64 Years,2922
1997,Total Female Indians,65 - 69 Years,2092
1997,Total Female Indians,70 - 74 Years,1284
1997,Total Female Indians,75 - 79 Years,646
1997,Total Female Indians,80 - 84 Years,236
1997,Total Female Indians,65 Years & Over,4387
1997,Total Female Indians,70 Years & Over,2295
1997,Total Female Indians,75 Years & Over,1011
1997,Total Female Indians,80 Years & Over,365
1997,Total Female Indians,85 Years & Over,130
1997,Other Ethnic Groups (Total),0  -  4 Years,4206
1997,Other Ethnic Groups (Total),5  -  9 Years,3582
1997,Other Ethnic Groups (Total),10 - 14 Years,2563
1997,Other Ethnic Groups (Total),15 - 19 Years,1892
1997,Other Ethnic Groups (Total),20 - 24 Years,1697
1997,Other Ethnic Groups (Total),25 - 29 Years,1769
1997,Other Ethnic Groups (Total),30 - 34 Years,2383
1997,Other Ethnic Groups (Total),35 - 39 Years,2659
1997,Other Ethnic Groups (Total),40 - 44 Years,2295
1997,Other Ethnic Groups (Total),45 - 49 Years,1961
1997,Other Ethnic Groups (Total),50 - 54 Years,1089
1997,Other Ethnic Groups (Total),55 - 59 Years,1065
1997,Other Ethnic Groups (Total),60 - 64 Years,1042
1997,Other Ethnic Groups (Total),65 - 69 Years,957
1997,Other Ethnic Groups (Total),70 - 74 Years,770
1997,Other Ethnic Groups (Total),75 - 79 Years,488
1997,Other Ethnic Groups (Total),80 - 84 Years,237
1997,Other Ethnic Groups (Total),65 Years & Over,2641
1997,Other Ethnic Groups (Total),70 Years & Over,1684
1997,Other Ethnic Groups (Total),75 Years & Over,913
1997,Other Ethnic Groups (Total),80 Years & Over,426
1997,Other Ethnic Groups (Total),85 Years & Over,189
1997,Other Ethnic Groups (Males),0  -  4 Years,2169
1997,Other Ethnic Groups (Males),5  -  9 Years,1863
1997,Other Ethnic Groups (Males),10 - 14 Years,1329
1997,Other Ethnic Groups (Males),15 - 19 Years,962
1997,Other Ethnic Groups (Males),20 - 24 Years,876
1997,Other Ethnic Groups (Males),25 - 29 Years,827
1997,Other Ethnic Groups (Males),30 - 34 Years,1110
1997,Other Ethnic Groups (Males),35 - 39 Years,1205
1997,Other Ethnic Groups (Males),40 - 44 Years,1096
1997,Other Ethnic Groups (Males),45 - 49 Years,1023
1997,Other Ethnic Groups (Males),50 - 54 Years,552
1997,Other Ethnic Groups (Males),55 - 59 Years,504
1997,Other Ethnic Groups (Males),60 - 64 Years,464
1997,Other Ethnic Groups (Males),65 - 69 Years,441
1997,Other Ethnic Groups (Males),70 - 74 Years,369
1997,Other Ethnic Groups (Males),75 - 79 Years,221
1997,Other Ethnic Groups (Males),80 - 84 Years,87
1997,Other Ethnic Groups (Males),65 Years & Over,1175
1997,Other Ethnic Groups (Males),70 Years & Over,734
1997,Other Ethnic Groups (Males),75 Years & Over,365
1997,Other Ethnic Groups (Males),80 Years & Over,144
1997,Other Ethnic Groups (Males),85 Years & Over,57
1997,Other Ethnic Groups (Females),0  -  4 Years,2037
1997,Other Ethnic Groups (Females),5  -  9 Years,1719
1997,Other Ethnic Groups (Females),10 - 14 Years,1235
1997,Other Ethnic Groups (Females),15 - 19 Years,931
1997,Other Ethnic Groups (Females),20 - 24 Years,820
1997,Other Ethnic Groups (Females),25 - 29 Years,942
1997,Other Ethnic Groups (Females),30 - 34 Years,1273
1997,Other Ethnic Groups (Females),35 - 39 Years,1454
1997,Other Ethnic Groups (Females),40 - 44 Years,1199
1997,Other Ethnic Groups (Females),45 - 49 Years,938
1997,Other Ethnic Groups (Females),50 - 54 Years,537
1997,Other Ethnic Groups (Females),55 - 59 Years,562
1997,Other Ethnic Groups (Females),60 - 64 Years,578
1997,Other Ethnic Groups (Females),65 - 69 Years,516
1997,Other Ethnic Groups (Females),70 - 74 Years,402
1997,Other Ethnic Groups (Females),75 - 79 Years,267
1997,Other Ethnic Groups (Females),80 - 84 Years,149
1997,Other Ethnic Groups (Females),65 Years & Over,1466
1997,Other Ethnic Groups (Females),70 Years & Over,950
1997,Other Ethnic Groups (Females),75 Years & Over,548
1997,Other Ethnic Groups (Females),80 Years & Over,281
1997,Other Ethnic Groups (Females),85 Years & Over,132
1998,Total Citizen,0  -  4 Years,226217
1998,Total Citizen,5  -  9 Years,242730
1998,Total Citizen,10 - 14 Years,204223
1998,Total Citizen,15 - 19 Years,200822
1998,Total Citizen,20 - 24 Years,200733
1998,Total Citizen,25 - 29 Years,223478
1998,Total Citizen,30 - 34 Years,259349
1998,Total Citizen,35 - 39 Years,288099
1998,Total Citizen,40 - 44 Years,276418
1998,Total Citizen,45 - 49 Years,227742
1998,Total Citizen,50 - 54 Years,156311
1998,Total Citizen,55 - 59 Years,122423
1998,Total Citizen,60 - 64 Years,94333
1998,Total Citizen,65 - 69 Years,78103
1998,Total Citizen,70 - 74 Years,56676
1998,Total Citizen,75 - 79 Years,35046
1998,Total Citizen,80 - 84 Years,21227
1998,Total Citizen,65 Years & Over,206855
1998,Total Citizen,70 Years & Over,128753
1998,Total Citizen,75 Years & Over,72077
1998,Total Citizen,80 Years & Over,37030
1998,Total Citizen,85 Years & Over,15803
1998,Total Male Citizens,0  -  4 Years,116735
1998,Total Male Citizens,5  -  9 Years,125092
1998,Total Male Citizens,10 - 14 Years,105733
1998,Total Male Citizens,15 - 19 Years,104002
1998,Total Male Citizens,20 - 24 Years,103378
1998,Total Male Citizens,25 - 29 Years,113205
1998,Total Male Citizens,30 - 34 Years,129881
1998,Total Male Citizens,35 - 39 Years,145065
1998,Total Male Citizens,40 - 44 Years,139083
1998,Total Male Citizens,45 - 49 Years,114230
1998,Total Male Citizens,50 - 54 Years,77676
1998,Total Male Citizens,55 - 59 Years,59554
1998,Total Male Citizens,60 - 64 Years,46232
1998,Total Male Citizens,65 - 69 Years,37175
1998,Total Male Citizens,70 - 74 Years,26158
1998,Total Male Citizens,75 - 79 Years,14928
1998,Total Male Citizens,80 - 84 Years,8169
1998,Total Male Citizens,65 Years & Over,91992
1998,Total Male Citizens,70 Years & Over,54817
1998,Total Male Citizens,75 Years & Over,28659
1998,Total Male Citizens,80 Years & Over,13731
1998,Total Male Citizens,85 Years & Over,5562
1998,Total Female Citizens,0  -  4 Years,109481
1998,Total Female Citizens,5  -  9 Years,117638
1998,Total Female Citizens,10 - 14 Years,98489
1998,Total Female Citizens,15 - 19 Years,96820
1998,Total Female Citizens,20 - 24 Years,97354
1998,Total Female Citizens,25 - 29 Years,110273
1998,Total Female Citizens,30 - 34 Years,129468
1998,Total Female Citizens,35 - 39 Years,143034
1998,Total Female Citizens,40 - 44 Years,137335
1998,Total Female Citizens,45 - 49 Years,113512
1998,Total Female Citizens,50 - 54 Years,78635
1998,Total Female Citizens,55 - 59 Years,62869
1998,Total Female Citizens,60 - 64 Years,48101
1998,Total Female Citizens,65 - 69 Years,40928
1998,Total Female Citizens,70 - 74 Years,30518
1998,Total Female Citizens,75 - 79 Years,20118
1998,Total Female Citizens,80 - 84 Years,13058
1998,Total Female Citizens,65 Years & Over,114863
1998,Total Female Citizens,70 Years & Over,73936
1998,Total Female Citizens,75 Years & Over,43418
1998,Total Female Citizens,80 Years & Over,23299
1998,Total Female Citizens,85 Years & Over,10241
1998,Total Malays,0  -  4 Years,45524
1998,Total Malays,5  -  9 Years,48796
1998,Total Malays,10 - 14 Years,40636
1998,Total Malays,15 - 19 Years,32618
1998,Total Malays,20 - 24 Years,27305
1998,Total Malays,25 - 29 Years,32042
1998,Total Malays,30 - 34 Years,42563
1998,Total Malays,35 - 39 Years,43675
1998,Total Malays,40 - 44 Years,34993
1998,Total Malays,45 - 49 Years,24327
1998,Total Malays,50 - 54 Years,15401
1998,Total Malays,55 - 59 Years,11027
1998,Total Malays,60 - 64 Years,11005
1998,Total Malays,65 - 69 Years,8689
1998,Total Malays,70 - 74 Years,6851
1998,Total Malays,75 - 79 Years,3839
1998,Total Malays,80 - 84 Years,1543
1998,Total Malays,65 Years & Over,21851
1998,Total Malays,70 Years & Over,13162
1998,Total Malays,75 Years & Over,6311
1998,Total Malays,80 Years & Over,2472
1998,Total Malays,85 Years & Over,929
1998,Total Male Malays,0  -  4 Years,23481
1998,Total Male Malays,5  -  9 Years,25075
1998,Total Male Malays,10 - 14 Years,20811
1998,Total Male Malays,15 - 19 Years,16867
1998,Total Male Malays,20 - 24 Years,14154
1998,Total Male Malays,25 - 29 Years,16178
1998,Total Male Malays,30 - 34 Years,21456
1998,Total Male Malays,35 - 39 Years,22251
1998,Total Male Malays,40 - 44 Years,17673
1998,Total Male Malays,45 - 49 Years,12013
1998,Total Male Malays,50 - 54 Years,7643
1998,Total Male Malays,55 - 59 Years,5189
1998,Total Male Malays,60 - 64 Years,5399
1998,Total Male Malays,65 - 69 Years,4144
1998,Total Male Malays,70 - 74 Years,3594
1998,Total Male Malays,75 - 79 Years,2073
1998,Total Male Malays,80 - 84 Years,801
1998,Total Male Malays,65 Years & Over,11079
1998,Total Male Malays,70 Years & Over,6934
1998,Total Male Malays,75 Years & Over,3340
1998,Total Male Malays,80 Years & Over,1267
1998,Total Male Malays,85 Years & Over,467
1998,Total Female Malays,0  -  4 Years,22043
1998,Total Female Malays,5  -  9 Years,23721
1998,Total Female Malays,10 - 14 Years,19825
1998,Total Female Malays,15 - 19 Years,15751
1998,Total Female Malays,20 - 24 Years,13152
1998,Total Female Malays,25 - 29 Years,15865
1998,Total Female Malays,30 - 34 Years,21107
1998,Total Female Malays,35 - 39 Years,21425
1998,Total Female Malays,40 - 44 Years,17320
1998,Total Female Malays,45 - 49 Years,12314
1998,Total Female Malays,50 - 54 Years,7757
1998,Total Female Malays,55 - 59 Years,5838
1998,Total Female Malays,60 - 64 Years,5606
1998,Total Female Malays,65 - 69 Years,4544
1998,Total Female Malays,70 - 74 Years,3257
1998,Total Female Malays,75 - 79 Years,1766
1998,Total Female Malays,80 - 84 Years,742
1998,Total Female Malays,65 Years & Over,10772
1998,Total Female Malays,70 Years & Over,6228
1998,Total Female Malays,75 Years & Over,2971
1998,Total Female Malays,80 Years & Over,1205
1998,Total Female Malays,85 Years & Over,462
1998,Total Chinese,0  -  4 Years,158405
1998,Total Chinese,5  -  9 Years,170704
1998,Total Chinese,10 - 14 Years,144192
1998,Total Chinese,15 - 19 Years,151678
1998,Total Chinese,20 - 24 Years,159193
1998,Total Chinese,25 - 29 Years,174239
1998,Total Chinese,30 - 34 Years,194759
1998,Total Chinese,35 - 39 Years,220030
1998,Total Chinese,40 - 44 Years,220007
1998,Total Chinese,45 - 49 Years,186606
1998,Total Chinese,50 - 54 Years,130245
1998,Total Chinese,55 - 59 Years,103703
1998,Total Chinese,60 - 64 Years,76292
1998,Total Chinese,65 - 69 Years,62208
1998,Total Chinese,70 - 74 Years,44285
1998,Total Chinese,75 - 79 Years,28455
1998,Total Chinese,80 - 84 Years,18614
1998,Total Chinese,65 Years & Over,167777
1998,Total Chinese,70 Years & Over,105569
1998,Total Chinese,75 Years & Over,61285
1998,Total Chinese,80 Years & Over,32830
1998,Total Chinese,85 Years & Over,14216
1998,Total Male Chinese,0  -  4 Years,81893
1998,Total Male Chinese,5  -  9 Years,88174
1998,Total Male Chinese,10 - 14 Years,74928
1998,Total Male Chinese,15 - 19 Years,78651
1998,Total Male Chinese,20 - 24 Years,81922
1998,Total Male Chinese,25 - 29 Years,88462
1998,Total Male Chinese,30 - 34 Years,97477
1998,Total Male Chinese,35 - 39 Years,110660
1998,Total Male Chinese,40 - 44 Years,110754
1998,Total Male Chinese,45 - 49 Years,93841
1998,Total Male Chinese,50 - 54 Years,64784
1998,Total Male Chinese,55 - 59 Years,50831
1998,Total Male Chinese,60 - 64 Years,37382
1998,Total Male Chinese,65 - 69 Years,28543
1998,Total Male Chinese,70 - 74 Years,18863
1998,Total Male Chinese,75 - 79 Years,11097
1998,Total Male Chinese,80 - 84 Years,6709
1998,Total Male Chinese,65 Years & Over,69924
1998,Total Male Chinese,70 Years & Over,41381
1998,Total Male Chinese,75 Years & Over,22518
1998,Total Male Chinese,80 Years & Over,11421
1998,Total Male Chinese,85 Years & Over,4712
1998,Total Female Chinese,0  -  4 Years,76511
1998,Total Female Chinese,5  -  9 Years,82531
1998,Total Female Chinese,10 - 14 Years,69264
1998,Total Female Chinese,15 - 19 Years,73027
1998,Total Female Chinese,20 - 24 Years,77271
1998,Total Female Chinese,25 - 29 Years,85777
1998,Total Female Chinese,30 - 34 Years,97282
1998,Total Female Chinese,35 - 39 Years,109371
1998,Total Female Chinese,40 - 44 Years,109252
1998,Total Female Chinese,45 - 49 Years,92765
1998,Total Female Chinese,50 - 54 Years,65461
1998,Total Female Chinese,55 - 59 Years,52871
1998,Total Female Chinese,60 - 64 Years,38909
1998,Total Female Chinese,65 - 69 Years,33665
1998,Total Female Chinese,70 - 74 Years,25421
1998,Total Female Chinese,75 - 79 Years,17358
1998,Total Female Chinese,80 - 84 Years,11906
1998,Total Female Chinese,65 Years & Over,97853
1998,Total Female Chinese,70 Years & Over,64188
1998,Total Female Chinese,75 Years & Over,38767
1998,Total Female Chinese,80 Years & Over,21409
1998,Total Female Chinese,85 Years & Over,9504
1998,Total Indians,0  -  4 Years,18254
1998,Total Indians,5  -  9 Years,19542
1998,Total Indians,10 - 14 Years,16611
1998,Total Indians,15 - 19 Years,14530
1998,Total Indians,20 - 24 Years,12554
1998,Total Indians,25 - 29 Years,15402
1998,Total Indians,30 - 34 Years,19775
1998,Total Indians,35 - 39 Years,21695
1998,Total Indians,40 - 44 Years,18980
1998,Total Indians,45 - 49 Years,14831
1998,Total Indians,50 - 54 Years,9346
1998,Total Indians,55 - 59 Years,6651
1998,Total Indians,60 - 64 Years,6004
1998,Total Indians,65 - 69 Years,6239
1998,Total Indians,70 - 74 Years,4753
1998,Total Indians,75 - 79 Years,2239
1998,Total Indians,80 - 84 Years,822
1998,Total Indians,65 Years & Over,14509
1998,Total Indians,70 Years & Over,8270
1998,Total Indians,75 Years & Over,3517
1998,Total Indians,80 Years & Over,1278
1998,Total Indians,85 Years & Over,457
1998,Total Male Indians,0  -  4 Years,9308
1998,Total Male Indians,5  -  9 Years,9929
1998,Total Male Indians,10 - 14 Years,8542
1998,Total Male Indians,15 - 19 Years,7475
1998,Total Male Indians,20 - 24 Years,6459
1998,Total Male Indians,25 - 29 Years,7710
1998,Total Male Indians,30 - 34 Years,9901
1998,Total Male Indians,35 - 39 Years,10955
1998,Total Male Indians,40 - 44 Years,9504
1998,Total Male Indians,45 - 49 Years,7361
1998,Total Male Indians,50 - 54 Years,4577
1998,Total Male Indians,55 - 59 Years,3048
1998,Total Male Indians,60 - 64 Years,2991
1998,Total Male Indians,65 - 69 Years,4033
1998,Total Male Indians,70 - 74 Years,3329
1998,Total Male Indians,75 - 79 Years,1526
1998,Total Male Indians,80 - 84 Years,568
1998,Total Male Indians,65 Years & Over,9779
1998,Total Male Indians,70 Years & Over,5746
1998,Total Male Indians,75 Years & Over,2418
1998,Total Male Indians,80 Years & Over,892
1998,Total Male Indians,85 Years & Over,324
1998,Total Female Indians,0  -  4 Years,8946
1998,Total Female Indians,5  -  9 Years,9613
1998,Total Female Indians,10 - 14 Years,8070
1998,Total Female Indians,15 - 19 Years,7055
1998,Total Female Indians,20 - 24 Years,6095
1998,Total Female Indians,25 - 29 Years,7692
1998,Total Female Indians,30 - 34 Years,9874
1998,Total Female Indians,35 - 39 Years,10740
1998,Total Female Indians,40 - 44 Years,9477
1998,Total Female Indians,45 - 49 Years,7471
1998,Total Female Indians,50 - 54 Years,4769
1998,Total Female Indians,55 - 59 Years,3603
1998,Total Female Indians,60 - 64 Years,3014
1998,Total Female Indians,65 - 69 Years,2206
1998,Total Female Indians,70 - 74 Years,1424
1998,Total Female Indians,75 - 79 Years,713
1998,Total Female Indians,80 - 84 Years,254
1998,Total Female Indians,65 Years & Over,4730
1998,Total Female Indians,70 Years & Over,2524
1998,Total Female Indians,75 Years & Over,1100
1998,Total Female Indians,80 Years & Over,386
1998,Total Female Indians,85 Years & Over,132
1998,Other Ethnic Groups (Total),0  -  4 Years,4033
1998,Other Ethnic Groups (Total),5  -  9 Years,3687
1998,Other Ethnic Groups (Total),10 - 14 Years,2783
1998,Other Ethnic Groups (Total),15 - 19 Years,1996
1998,Other Ethnic Groups (Total),20 - 24 Years,1680
1998,Other Ethnic Groups (Total),25 - 29 Years,1794
1998,Other Ethnic Groups (Total),30 - 34 Years,2252
1998,Other Ethnic Groups (Total),35 - 39 Years,2698
1998,Other Ethnic Groups (Total),40 - 44 Years,2438
1998,Other Ethnic Groups (Total),45 - 49 Years,1978
1998,Other Ethnic Groups (Total),50 - 54 Years,1319
1998,Other Ethnic Groups (Total),55 - 59 Years,1042
1998,Other Ethnic Groups (Total),60 - 64 Years,1032
1998,Other Ethnic Groups (Total),65 - 69 Years,967
1998,Other Ethnic Groups (Total),70 - 74 Years,788
1998,Other Ethnic Groups (Total),75 - 79 Years,513
1998,Other Ethnic Groups (Total),80 - 84 Years,248
1998,Other Ethnic Groups (Total),65 Years & Over,2718
1998,Other Ethnic Groups (Total),70 Years & Over,1751
1998,Other Ethnic Groups (Total),75 Years & Over,963
1998,Other Ethnic Groups (Total),80 Years & Over,450
1998,Other Ethnic Groups (Total),85 Years & Over,202
1998,Other Ethnic Groups (Males),0  -  4 Years,2053
1998,Other Ethnic Groups (Males),5  -  9 Years,1914
1998,Other Ethnic Groups (Males),10 - 14 Years,1453
1998,Other Ethnic Groups (Males),15 - 19 Years,1009
1998,Other Ethnic Groups (Males),20 - 24 Years,843
1998,Other Ethnic Groups (Males),25 - 29 Years,856
1998,Other Ethnic Groups (Males),30 - 34 Years,1047
1998,Other Ethnic Groups (Males),35 - 39 Years,1200
1998,Other Ethnic Groups (Males),40 - 44 Years,1152
1998,Other Ethnic Groups (Males),45 - 49 Years,1015
1998,Other Ethnic Groups (Males),50 - 54 Years,672
1998,Other Ethnic Groups (Males),55 - 59 Years,486
1998,Other Ethnic Groups (Males),60 - 64 Years,460
1998,Other Ethnic Groups (Males),65 - 69 Years,455
1998,Other Ethnic Groups (Males),70 - 74 Years,372
1998,Other Ethnic Groups (Males),75 - 79 Years,232
1998,Other Ethnic Groups (Males),80 - 84 Years,92
1998,Other Ethnic Groups (Males),65 Years & Over,1210
1998,Other Ethnic Groups (Males),70 Years & Over,755
1998,Other Ethnic Groups (Males),75 Years & Over,383
1998,Other Ethnic Groups (Males),80 Years & Over,151
1998,Other Ethnic Groups (Males),85 Years & Over,59
1998,Other Ethnic Groups (Females),0  -  4 Years,1980
1998,Other Ethnic Groups (Females),5  -  9 Years,1773
1998,Other Ethnic Groups (Females),10 - 14 Years,1330
1998,Other Ethnic Groups (Females),15 - 19 Years,987
1998,Other Ethnic Groups (Females),20 - 24 Years,837
1998,Other Ethnic Groups (Females),25 - 29 Years,939
1998,Other Ethnic Groups (Females),30 - 34 Years,1205
1998,Other Ethnic Groups (Females),35 - 39 Years,1498
1998,Other Ethnic Groups (Females),40 - 44 Years,1286
1998,Other Ethnic Groups (Females),45 - 49 Years,962
1998,Other Ethnic Groups (Females),50 - 54 Years,648
1998,Other Ethnic Groups (Females),55 - 59 Years,556
1998,Other Ethnic Groups (Females),60 - 64 Years,572
1998,Other Ethnic Groups (Females),65 - 69 Years,512
1998,Other Ethnic Groups (Females),70 - 74 Years,416
1998,Other Ethnic Groups (Females),75 - 79 Years,281
1998,Other Ethnic Groups (Females),80 - 84 Years,156
1998,Other Ethnic Groups (Females),65 Years & Over,1508
1998,Other Ethnic Groups (Females),70 Years & Over,996
1998,Other Ethnic Groups (Females),75 Years & Over,580
1998,Other Ethnic Groups (Females),80 Years & Over,299
1998,Other Ethnic Groups (Females),85 Years & Over,142
1999,Total Citizen,0  -  4 Years,217384
1999,Total Citizen,5  -  9 Years,240213
1999,Total Citizen,10 - 14 Years,216614
1999,Total Citizen,15 - 19 Years,200692
1999,Total Citizen,20 - 24 Years,196291
1999,Total Citizen,25 - 29 Years,224069
1999,Total Citizen,30 - 34 Years,247213
1999,Total Citizen,35 - 39 Years,286232
1999,Total Citizen,40 - 44 Years,282772
1999,Total Citizen,45 - 49 Years,236647
1999,Total Citizen,50 - 54 Years,172967
1999,Total Citizen,55 - 59 Years,122725
1999,Total Citizen,60 - 64 Years,99946
1999,Total Citizen,65 - 69 Years,80309
1999,Total Citizen,70 - 74 Years,60160
1999,Total Citizen,75 - 79 Years,36396
1999,Total Citizen,80 - 84 Years,21503
1999,Total Citizen,65 Years & Over,214616
1999,Total Citizen,70 Years & Over,134307
1999,Total Citizen,75 Years & Over,74147
1999,Total Citizen,80 Years & Over,37751
1999,Total Citizen,85 Years & Over,16248
1999,Total Male Citizens,0  -  4 Years,112439
1999,Total Male Citizens,5  -  9 Years,123742
